differential,release_year,genre,type,weeks_on_billboard,peak_billboard_position,spotify_popularity,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,ave_age_at_top_500,years_between
-36,1968,Soul/Gospel/R&B,Greatest Hits,8,122,28,2,Male,3870,1956,33,12
20,1968,Punk/Post-Punk/New Wave/Power Pop,Studio,2,199,28,4,Male/Female,7770,1967,25.5,1
-34,1968,Blues/Blues Rock,Studio,66,1,61,5,Male/Female,9707,1967,26.6,1
6,1969,Soul/Gospel/R&B,Studio,14,99,24,1,Female,1939,1964,30,5
9,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,83,1,79,4,Male,7765,1963,27.75,6
406,2011,Hip-Hop/Rap,Studio,557,1,84,1,Male,1986,2010,25,1
-9,1969,Blues/Blues Rock,Studio,39,3,46,6,Male,11654,1964,26.66666667,5
-12,1969,Country/Folk/Country Rock/Folk Rock,Studio,49,9,58,5,Male,9706,1968,27.8,1
-72,1969,Hard Rock/Metal,Studio,73,10,53,4,Male,7786,1969,22.5,0
-48,1969,Hard Rock/Metal,Studio,75,1,55,4,Male,7786,1969,22.5,0
-94,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,126,4,39,4,Male,7779,1965,24.25,4
199,1969,Blues/Blues Rock,Studio,3,60,34,4,Male,7776,1968,25,1
-132,1969,Rock n' Roll/Rhythm & Blues,Studio,34,13,67,1,Male,1935,1956,34,13
-55,1969,Punk/Post-Punk/New Wave/Power Pop,Live,23,30,36,5,Male,9731,1969,22.8,0
-270,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,7,164,41,4,Male,7771,1969,26.25,0
-303,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,11,106,50,4,Male,7791,1969,21.25,0
386,2012,Hip-Hop/Rap,Studio,575,2,76,1,Male,1987,2011,25,1
-406,1969,Blues/Blues Rock,Studio,1,88,74,4,Male,7776,1968,25,1
384,2005,Hip-Hop/Rap,Studio,37,1,80,1,Male,1977,2004,28,1
-351,1969,Blues/Blues Rock,Studio,16,4,43,6,Male,11683,1969,21.83333333,0
-312,1969,Blues/Blues Rock,Live,30,27,37,4,Male,7773,1968,25.75,1
-257,1969,Blues/Blues Rock,Live,15,64,32,7,Male,13607,1967,25.14285714,2
-218,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,59,1,Male,1948,1969,21,0
-1,1969,Soul/Gospel/R&B,Studio,102,13,57,10,Male/Female,19466,1967,22.4,2
171,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,41,4,Male/Female,7775,1967,25.25,2
-131,1969,Punk/Post-Punk/New Wave/Power Pop,Studio,44,13,35,6,Male/Female,11644,1966,28.33333333,3
-63,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,33,6,59,1,Male,1940,1968,30,2
7,1970,Big Band/Jazz,Studio,29,35,39,1,Male,1926,1951,44,19
97,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,42,5,Male,9740,1969,22,1
-55,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,24,29,65,1,Male,1945,1967,25,3
-9,1970,Hard Rock/Metal,Studio,65,12,68,4,Male,7793,1970,21.75,0
-121,1970,Country/Folk/Country Rock/Folk Rock,Studio,85,1,71,2,Male,3882,1964,29,6
-79,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,102,3,65,1,Male,1948,1968,22,2
1,1970,Country/Folk/Country Rock/Folk Rock,Studio,79,8,73,1,Male,1948,1967,22,3
43,1970,Country/Folk/Country Rock/Folk Rock,Studio,19,30,53,7,Male,13604,1967,26.57142857,3
-72,1970,Country/Folk/Country Rock/Folk Rock,Studio,97,1,64,4,Male,7773,1969,26.75,1
-111,1970,Blues/Blues Rock,Studio,2,131,65,6,Male,11672,1970,24.66666667,0
353,2012,Soul/Gospel/R&B,Studio,150,2,84,1,Male,1987,2012,25,0
-157,1970,Blues/Blues Rock,Live,44,4,35,4,Male,7779,1965,25.25,5
-129,1970,Blues/Blues Rock,Studio,88,1,62,6,Male,11683,1969,22.83333333,1
-256,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,59,1,76,4,Male,7765,1963,28.75,7
346,2003,Hip-Hop/Rap,Studio,58,1,65,1,Male,1969,1996,34,7
-114,1970,Hard Rock/Metal,Studio,65,23,50,4,Male,7793,1970,21.75,0
69,1970,Singer-Songwriter/Heartland Rock,Studio,41,1,63,1,Male,1943,1968,27,2
-147,1970,Blues/Blues Rock,Studio,26,27,55,7,Male,13607,1967,26.14285714,3
-148,1970,Blues/Blues Rock,Studio,1,69,74,4,Male,7776,1968,26,2
-197,1970,Funk/Disco,Studio,2,198,36,4,Male,7778,1969,25.5,1
-147,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,16,4,25,1,Male,1943,1968,27,2
-121,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,4,151,47,6,Male,11657,1962,27.16666667,8
-50,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,7,137,37,5,Male,9731,1969,23.8,1
-38,1970,Singer-Songwriter/Heartland Rock,Studio,37,5,46,1,Male,1947,1969,23,1
-33,1970,Singer-Songwriter/Heartland Rock,Studio,51,4,52,1,Male,1947,1969,23,1
-77,1970,Punk/Post-Punk/New Wave/Power Pop,Compilation,64.27097902097903,201,49,1,Male,1911,1937,59,33
-133,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,64.27097902097903,201,50,4,Male/Female,7775,1967,26.25,3
-283,1970,Funk/Disco,Greatest Hits,79,2,51,10,Male/Female,19466,1967,23.4,3
-326,1970,Punk/Post-Punk/New Wave/Power Pop,Studio,87,2,54,2,Male/Female,3896,1969,22,1
11,1971,Singer-Songwriter/Heartland Rock,Studio,302,1,68,1,Female,1942,1970,29,1
326,2017,Hip-Hop/Rap,Studio,342,1,85,1,Male,1987,2011,30,6
42,1971,Country/Folk/Country Rock/Folk Rock,Studio,64.27097902097903,201,50,1,Female,1946,1967,25,4
